"Date","Open","High","Low","Close","Volume"
"1/4/2010","377.399994","379.450012","374.524994","375.825012","1963682"
"1/5/2010","377.5","379.774994","373.274994","375.924988","2014488"
"1/6/2010","375.924988","376.100006","366.5","367.424988","3349176"
"1/7/2010","367.75","369.700012","355.5","357.200012","6474892"
"1/8/2010","358","359.25","348.25","349.899994","6048178"
"1/11/2010","352","360.049988","350.200012","357.100006","4318408"
"1/12/2010","366","377","363.5","375.024994","9027690"
"1/13/2010","372.5","398.200012","372.325012","394.274994","10910272"
"1/14/2010","399.225006","399.225006","384.674988","389.924988","10327614"
"1/15/2010","398","399.799988","386.125","395.700012","7945008"
"1/18/2010","400","414.5","396.5","401.100006","7261084"
"1/19/2010","401.100006","401.100006","389.325012","390.350006","5154850"
"1/20/2010","396.100006","396.100006","385.450012","389.700012","4347054"
"1/21/2010","386.125","395.975006","383.950012","385.325012","5089504"
"1/22/2010","380.5","382.5","372.350006","378.924988","7574990"
"1/25/2010","378.75","382.75","370.575012","378.100006","3008286"
"1/27/2010","375","379.850006","370.075012","371.649994","4844398"
"1/28/2010","374.75","378.975006","363.850006","370.875","6537196"
"1/29/2010","367","369.899994","356.075012","368.100006","5473326"
"2/1/2010","367.174988","381.399994","360","373.075012","3378012"
"2/2/2010","377.5","381.325012","367.5","369.200012","4739188"
"2/3/2010","372","378.450012","367.75","376.475006","2977676"
"2/4/2010","376.475006","376.950012","366.25","369.350006","2716612"
"2/5/2010","367.5","367.5","358.299988","361.75","4607118"
"2/8/2010","364.5","367.375","354.075012","362.075012","4170344"
"2/9/2010","362.5","370.975006","360.524994","367.575012","3005894"
"2/10/2010","369.950012","371.850006","364.049988","366.149994","2337374"
"2/11/2010","368.975006","373.975006","367.5","371.350006","2413156"
"2/15/2010","375","375","369.274994","373.075012","1956482"
"2/16/2010","373.625","382.475006","371.100006","379.075012","1660490"
"2/17/2010","382.450012","383.975006","376.274994","379.325012","2528290"
"2/18/2010","380","383.475006","377.75","379.399994","1814806"
"2/19/2010","377.450012","379.75","372.899994","375.274994","2215880"
"2/22/2010","378.5","381.850006","376.899994","378.625","2143460"
"2/23/2010","379.5","382.5","375.625","381.049988","1853052"
"2/24/2010","378","385.350006","376.049988","382.674988","4076058"
"2/25/2010","384.899994","384.899994","380.625","383.125","2672984"
"2/26/2010","383.549988","389.274994","373.075012","380.899994","3015934"
"3/2/2010","381","384.5","377.5","381.600006","4053352"
"3/3/2010","384.5","387","382.075012","384.375","2754742"
"3/4/2010","384","385","378.5","381.950012","2053606"
"3/5/2010","382.5","383.475006","380.075012","381.299988","1287312"
"3/8/2010","383.799988","385","380.149994","381.350006","3015740"
"3/9/2010","381.5","389.25","381.5","384.350006","3457732"
"3/10/2010","381.850006","392.225006","380","390.024994","4587874"
"3/11/2010","390.024994","397.450012","385.975006","395.799988","3214030"
"3/12/2010","400","400","396","398.475006","2510976"
"3/15/2010","398.475006","410","395.575012","409","6054434"
"3/16/2010","410.75","415.975006","407.899994","414.5","3088856"
"3/17/2010","417","422.950012","415","420.350006","4174794"
"3/18/2010","422.5","422.5","410.25","412.924988","3724554"
"3/19/2010","402.625","417.225006","402.625","410.450012","4716624"
"3/22/2010","407.450012","416.899994","403.075012","413.799988","3310110"
"3/23/2010","415","416.5","411.049988","414.325012","1694964"
"3/25/2010","412.049988","418.399994","409","414.899994","5517582"
"3/26/2010","415","418","411.149994","412.524994","1997806"
"3/29/2010","412","414.649994","404.274994","405.975006","3443266"
